plant_name,sunlight,watering,difficulty,light_hours,indoor_outdoor,humidity,temperature_min_c,temperature_max_c,description
Alstroemeria,medium,Every 2 weeks,Medium,4,Both,Low,10,32,Growth rate: slow. Soil: loamy. Watering: Water when topsoil is dry. Fertilizer: Balanced.
Alyssum,high,Weekly,Easy,6,Outdoor,Low,5,35,Growth rate: fast. Soil: sandy. Watering: Water weekly. Fertilizer: Organic.
Amaltas (golden Shower),high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Water when soil is dry. Fertilizer: Low-nitrogen.
Amaranth,high,Weekly,Easy,6,Outdoor,High,5,35,"Growth rate: fast. Soil: loamy. Watering: Regular, moist soil. Fertilizer: Organic."
Amaryllis,high,Weekly,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Keep soil moist. Fertilizer: Low-nitrogen.
Amazon Lily,low,Weekly,Hard,3,Indoor,Medium,15,28,"The Amazon lily (Eucharis amazonica) is an amazing plant species native to the Amazon region. It produces beautiful white, cup-shaped flowers with yellow throats that contrast against its glossy foliage. Its easy-to-care-for nature, adaptability t..."
Amazonian Elephant's Ear,low,2x/week,Hard,3,Indoor,High,15,28,"The Amazonian elephant’s ear (Alocasia amazonica 'Polly') is a unique and stunning plant that demands attention! Its lush, velvety leaves are an eye-catching bright green, with prominent ivory undersides. The deep purple veins running through the ..."
Anemone,medium,2x/week,Easy,4,Both,High,10,32,Growth rate: moderate. Soil: well-drained. Watering: Keep soil evenly moist. Fertilizer: Organic.
Angel Wings,low,Weekly,Medium,3,Indoor,Medium,15,28,"Angel Wings (Caladium bicolor) provides a vibrant splash of color to gardens and outdoor spaces. It's beautiful gray-green veined leaves come in a variety of hues including pink, white, red and burgundy. The heart-shaped foliage is also perfect as..."
Angelonia,high,Weekly,Easy,6,Outdoor,High,5,35,Growth rate: moderate. Soil: well-drained. Watering: Keep soil consistently moist. Fertilizer: Organic.
Angelwing Begonia,low,2x/week,Medium,3,Indoor,High,15,28,"Angelwing begonias (Begonia 'Sinbad') are a luscious and eye-catching plant species. They’re easy to care for, yet beautiful enough to draw attention. These begonias are both drought and heat-resistant, making them suitable for any garden setting...."
Anigozanthos (kangaroo Paw),high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Let soil dry between watering. Fertilizer: Balanced.
Anthurium,low,Weekly,Medium,3,Indoor,Medium,15,28,"Anthurium andraeanum is an amazing plant species for many reasons. It has a brightly coloured spathe, which can be orange, white and yellow, as well as long-lasting flowering. It is a long-lived species, and its blooms can remain intact for severa..."
Apple Tree,high,Weekly,Medium,6,Outdoor,Low,5,35,Growth rate: slow. Soil: sandy. Watering: Water weekly. Fertilizer: Balanced.
Aquilegia (columbine),medium,Every 2 weeks,Easy,4,Both,Low,10,32,Growth rate: moderate. Soil: loamy. Watering: Let soil dry between watering. Fertilizer: Organic.
Areca Palm,high,2x/week,Medium,6,Indoor,High,10,28,"(Dypsis lutescens) Family: Arecaceae. Origin: Madagascar. Climate: Tropical. Watering: Keep moist between watering. Must not be dry between watering. Watch for: Spider mite, Mealy bug, Scale."
Armeria (thrift),high,Every 2 weeks,Medium,6,Outdoor,Low,5,35,Growth rate: slow. Soil: sandy. Watering: Water when soil is dry. Fertilizer: Low-nitrogen.
Arum Lily,medium,Weekly,Easy,4,Both,High,10,32,"Growth rate: moderate. Soil: moist. Watering: Regular, moist soil. Fertilizer: Balanced."
Asparagus Fern,low,Weekly,Medium,3,Indoor,Medium,15,28,"The asparagus fern, formally known as Asparagus densiflorus 'Myersii', is an amazing plant species. It grows quickly and produces delicate, feathery foliage that resembles ferns, making it a great choice for creating a lush, tropical look in the h..."
Aster,high,Weekly,Easy,6,Outdoor,Medium,5,35,Growth rate: moderate. Soil: well-drained. Watering: Water weekly. Fertilizer: Low-nitrogen.
Astilbe,medium,Weekly,Easy,4,Both,High,10,32,Growth rate: moderate. Soil: well-drained. Watering: Keep soil moist. Fertilizer: Organic.
Azalea,medium,Weekly,Easy,4,Both,High,10,32,Growth rate: moderate. Soil: acidic. Watering: Keep soil moist. Fertilizer: Acidic.
Aztec Lily,medium,Every 2 weeks,Medium,4,Both,Low,10,32,Growth rate: slow. Soil: sandy. Watering: Let soil dry between watering. Fertilizer: Organic.
Baby Rubber Plant,medium,2x/week,Medium,4,Both,High,10,32,(Peperomia obtusifolia) Family: Piperaceae. Origin: Venezuela. Climate: Tropical. Watering: Keep moist between watering. Water when soil is half dry..
Bachelorâs Button,high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: fast. Soil: sandy. Watering: Water when soil is dry. Fertilizer: Balanced.
Balfour Aralia,high,2x/week,Medium,6,Indoor,High,12,30,"(Polyscias pinnatta) Family: Araliaceae. Origin: Cultivar. Climate: Tropical. Watering: Keep moist between watering. Water when soil is half dry.. Watch for: Spider mite, Aphid, Mealy bug."
Balloon Flower,high,Weekly,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Water weekly. Fertilizer: Low-nitrogen.
Balsam,high,Weekly,Easy,6,Outdoor,Medium,5,35,Growth rate: fast. Soil: moist. Watering: Regular watering. Fertilizer: Organic.
Bamboo,medium,Weekly,Easy,4,Both,High,10,32,Growth rate: moderate. Soil: acidic. Watering: Keep soil moist. Fertilizer: Acidic.
Bamboo Orchid,high,Weekly,Easy,6,Indoor,High,15,28,Growth rate: moderate. Soil: well-drained. Watering: Keep soil moist. Fertilizer: Organic.
Bamboo Palm,low,Weekly,Medium,3,Both,High,10,30,"The Bamboo Palm (Chamaedorea seifrizii) is an amazing plant that can add life and color to any room in your home. Its growth habits are easy to maintain and can be included in low light situations. Its bamboo-like stalks, fronds, and deep green le..."
Banana Plant,high,Weekly,Easy,6,Outdoor,Medium,5,35,Growth rate: fast. Soil: moist. Watering: Water weekly. Fertilizer: Balanced.
Banyan Tree (bargad),high,Weekly,Medium,6,Outdoor,Medium,5,35,"Growth rate: slow. Soil: well-drained. Watering: Regular, well-drained soil. Fertilizer: Low-nitrogen."
Barberry,high,Weekly,Easy,6,Outdoor,Low,5,35,"Growth rate: moderate. Soil: sandy. Watering: Regular, well-drained soil. Fertilizer: Balanced."
Basil,high,2x/week,Easy,6,Outdoor,High,5,35,Growth rate: fast. Soil: well-drained. Watering: Keep soil evenly moist. Fertilizer: Organic.
Bay Laurel,medium,Weekly,Medium,4,Both,Low,10,32,Growth rate: slow. Soil: sandy. Watering: Water weekly. Fertilizer: Organic.
Bearded Iris,medium,2x/week,Medium,4,Both,Low,10,32,Growth rate: slow. Soil: sandy. Watering: Keep soil evenly moist. Fertilizer: Balanced.
Bee Balm,medium,Weekly,Easy,4,Both,High,10,32,Growth rate: moderate. Soil: well-drained. Watering: Keep soil moist. Fertilizer: Organic.
Beetroot,high,Weekly,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Regular watering. Fertilizer: Organic.
Beggonia (outdoor),high,Weekly,Easy,6,Outdoor,High,5,35,"Growth rate: moderate. Soil: well-drained. Watering: Regular, moist soil. Fertilizer: Organic."
Begonia,high,2x/week,Easy,6,Indoor,High,15,28,Begonia 'Art Hodes' is an amazing flowering plant species with large and beautiful flowers with orange and yellow streaked petals. It's an ideal choice for any garden due to its resilience and ease of care. Its glossy green foliage is perfect for ...
Begonia (indoor),high,Weekly,Easy,6,Indoor,Medium,15,28,Growth rate: moderate. Soil: well-drained. Watering: Water weekly. Fertilizer: Balanced.
Begonia (outdoor),high,Weekly,Easy,6,Outdoor,Medium,5,35,Growth rate: moderate. Soil: well-drained. Watering: Water weekly. Fertilizer: Organic.
Bella Palm,low,2x/week,Medium,3,Indoor,High,5,28,"(Chamaedorea elegans) Family: Arecaceae. Origin: Mexico. Climate: Tropical. Watering: Keep moist between watering. Water when soil is half dry.. Watch for: Spider mite, Mealy bug, Scale."
Bellflower,medium,Weekly,Easy,4,Both,Low,10,32,Growth rate: moderate. Soil: sandy. Watering: Keep soil moist. Fertilizer: Organic.
Ber Tree (indian Jujube),high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Water when soil feels dry. Fertilizer: Organic.
Bergamot,medium,Weekly,Easy,4,Both,High,10,32,"Growth rate: moderate. Soil: loamy. Watering: Regular, moist soil. Fertilizer: Balanced."
Bigleaf Hydrangea,high,Weekly,Easy,6,Outdoor,High,5,35,Growth rate: moderate. Soil: acidic. Watering: Keep soil consistently moist. Fertilizer: Organic.
Bird Nest Anthurium,low,Every 2 weeks,Medium,3,Indoor,High,18,28,"(Anthurium hookeri) Family: Araceae. Origin: Guyana. Climate: Tropical humid. Watering: Water when soil is half dry. Can be dry between watering.. Watch for: Mealy bug, Snail, Aphid."
Bird of Paradise,high,Weekly,Easy,6,Indoor,Medium,15,28,Growth rate: moderate. Soil: well-drained. Watering: Water weekly.
Bird's Nest Fern,low,Weekly,Easy,3,Indoor,High,15,28,"The Bird's Nest Fern (Asplenium nidus 'Antiquum') is a rare and unique species of fern that is a must-have addition to anytropical garden. Its stunning, wide-spreading fronds make it an attractive focal point, while its resistance to pests and dis..."
Birdnest Fern,low,2x/week,Medium,3,Indoor,High,15,28,(Asplenium nidus) Family: Aspleniaceae. Origin: Asia. Climate: Tropical humid. Watering: Keep moist between watering. Must not be dry between watering.
Birdnest Sansevieria,low,Every 2 weeks,Medium,3,Indoor,High,10,35,(Sansevieria trifasciata Hahnii) Family: Liliaceae. Origin: Cultivar. Climate: Tropical. Watering: Water when soil is half dry. Can be dry between watering..
Black Currant,medium,Every 2 weeks,Easy,4,Both,Low,10,32,Growth rate: moderate. Soil: loamy. Watering: Water when soil feels dry. Fertilizer: Organic.
Black Eyed Susan,high,Weekly,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Water weekly. Fertilizer: Balanced.
Blackcurrant,high,Weekly,Easy,6,Outdoor,High,5,35,Growth rate: moderate. Soil: acidic. Watering: Keep soil moist. Fertilizer: Organic.
Blanket Flower,high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: fast. Soil: sandy. Watering: Water when soil is dry. Fertilizer: Low-nitrogen.
Blazing Star,high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: loamy. Watering: Water when soil is dry. Fertilizer: Organic.
Bleeding Heart,high,Weekly,Medium,6,Indoor,Medium,15,28,"The bleeding heart (Clerodendrum thomsoniae) is an amazing flower species that produces clusters of soft, deep pink heart-shaped blooms from late spring onwards. Its foliage is made up of deep green, glossy ovate leaves that compliment its flowers..."
Bloodroot,medium,Weekly,Medium,4,Both,High,10,32,Growth rate: slow. Soil: moist. Watering: Keep soil slightly moist. Fertilizer: Organic.
Blue Agave,high,Every 2 weeks,Medium,6,Indoor,High,12,35,"(Agave verschaffeltii) Family: Amaryllidaceae. Origin: Mexico. Climate: Arid Tropical. Watering: Water only when the soil is dry. Must be dry between watering. Watch for: Scale, Mealy bug."
Bluebell,medium,Weekly,Easy,4,Both,High,10,32,Growth rate: moderate. Soil: well-drained. Watering: Keep soil slightly moist. Fertilizer: Organic.
Bok Choy,high,Weekly,Easy,6,Outdoor,Medium,5,35,Growth rate: fast. Soil: loamy. Watering: Regular watering. Fertilizer: Organic.
Borage,high,Weekly,Easy,6,Outdoor,High,5,35,"Growth rate: fast. Soil: well-drained. Watering: Regular, moist soil. Fertilizer: Organic."
Boston Fern,low,2x/week,Medium,3,Indoor,High,10,28,"(Nephrolepis exaltata var) Family: Nephrolepidaceae. Origin: Cultivar. Climate: Tropical. Watering: Keep moist between watering. Water when soil is half dry.. Watch for: Mealy bug, Scale."
Bougainvillea,high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: fast. Soil: well-drained. Watering: Water when soil is dry. Fertilizer: Low-nitrogen.
Bougainvillia,high,2x/week,Medium,6,Indoor,High,10,32,"(Bougainvillea) Family: Nyctaginaceae. Origin: Cultivar. Climate: Tropical. Watering: Keep moist between watering. Water when soil is half dry.. Watch for: Aphid, Mealy bug."
Bower Plant,high,2x/week,Medium,6,Indoor,High,8,28,(Pandorea jasminoides) Family: Bignoniaceae. Origin: Australia. Climate: Subtropical. Watering: Keep moist between watering. Water when soil is half dry..
Boxwood,high,Weekly,Medium,6,Indoor,Medium,15,28,"Boxwood (Buxus microphylla 'Peergold' GOLDEN DREAM) is an amazing choice of evergreen shrub for any garden. Its golden foliage creates stunning contrast when planted in blocks, and its small size makes it a perfect fit for any landscape. Not only ..."
Brachychiton (bottle Tree),high,Weekly,Medium,6,Outdoor,High,5,35,"Growth rate: slow. Soil: well-drained. Watering: Regular, moist soil. Fertilizer: Balanced."
Brassica,high,Weekly,Easy,6,Outdoor,Medium,5,35,Growth rate: moderate. Soil: moist. Watering: Regular watering. Fertilizer: Low-nitrogen.
Bromeliad,high,Weekly,Easy,6,Indoor,Medium,15,28,Growth rate: moderate. Soil: well-drained. Watering: Water weekly. Fertilizer: Balanced.
Bronze Anthurium,low,Every 2 weeks,Medium,3,Indoor,High,18,28,"(Anthurium superbum) Family: Araceae. Origin: Ecuador. Climate: Tropical. Watering: Water when soil is half dry. Can be dry between watering.. Watch for: Spider mite, Mealy bug."
Buckwheat,high,Weekly,Easy,6,Outdoor,Low,5,35,"Growth rate: fast. Soil: sandy. Watering: Regular, moist soil. Fertilizer: Low-nitrogen."
Burro Tail,high,Every 2 weeks,Medium,6,Indoor,High,8,35,(Sedum morganianum) Family: Crasssulaceae. Origin: Mexico. Climate: Arid Tropical. Watering: Water only when the soil is dry. Must be dry between watering.
Butterfly Ginger,high,2x/week,Medium,6,Indoor,High,10,30,(Hedychium coronarium) Family: Zingiberaceae. Origin: China. Climate: Subtropical. Watering: Keep moist between watering. Must not be dry between watering.
Butternut Squash,high,Weekly,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Regular watering. Fertilizer: Organic.
Cabbage,high,Weekly,Easy,6,Outdoor,High,5,35,"Growth rate: fast. Soil: well-drained. Watering: Regular, moist soil. Fertilizer: Balanced."
Cabbage Palm,high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Water when topsoil is dry. Fertilizer: Organic.
Cactus,high,Every 2 weeks,Medium,6,Outdoor,Low,5,35,Growth rate: slow. Soil: sandy. Watering: Let soil dry between watering. Fertilizer: Low-nitrogen.
Calathea,low,Weekly,Easy,3,Indoor,High,15,28,Growth rate: moderate. Soil: well-drained. Watering: Keep soil moist.
Calendula,high,Weekly,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Water weekly. Fertilizer: Low-nitrogen.
California Poppy,high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: fast. Soil: sandy. Watering: Water when soil is dry. Fertilizer: Organic.
Calla Lily,medium,Weekly,Easy,4,Both,Low,10,32,Growth rate: moderate. Soil: sandy. Watering: Keep soil moist. Fertilizer: Organic.
Camelina,high,Weekly,Easy,6,Outdoor,High,5,35,"Growth rate: fast. Soil: loamy. Watering: Regular, moist soil."
Camellia,medium,Weekly,Medium,4,Both,Medium,10,32,Growth rate: slow. Soil: acidic. Watering: Water weekly. Fertilizer: Acidic.
Campanula,medium,Weekly,Easy,4,Both,Low,10,32,Growth rate: moderate. Soil: sandy. Watering: Keep soil moist. Fertilizer: Balanced.
Cananga (ylang Ylang),high,Weekly,Easy,6,Outdoor,Medium,5,35,"Growth rate: moderate. Soil: loamy. Watering: Regular, well-drained soil. Fertilizer: Organic."
Candytuft,high,Weekly,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Water weekly. Fertilizer: Low-nitrogen.
Canna Lily,high,Weekly,Easy,6,Outdoor,Medium,5,35,Growth rate: fast. Soil: well-drained. Watering: Water weekly. Fertilizer: Balanced.
Cape Mahogany,medium,2x/week,Medium,4,Indoor,High,12,28,(Trichilia dregei) Family: Miliaceae. Origin: Zimbabwe. Climate: Tropical humid. Watering: Keep moist between watering. Must not be dry between watering.
Carnation,high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: well-drained. Watering: Water when soil is dry. Fertilizer: Low-nitrogen.
Carob Tree,high,Every 2 weeks,Medium,6,Outdoor,Low,5,35,Growth rate: slow. Soil: well-drained. Watering: Water when soil is dry. Fertilizer: Balanced.
Carrot,high,Weekly,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Regular watering. Fertilizer: Organic.
Carrot Plant,high,Weekly,Easy,6,Outdoor,Low,5,35,"Growth rate: moderate. Soil: sandy. Watering: Regular, well-drained soil. Fertilizer: Balanced."
Cast Iron Plant,low,Weekly,Easy,2,Both,Medium,8,28,"The cast-iron plant (Aspidistra elatior) is an amazing plant species due to its resilience and endurance. This plant is almost impossible to kill, since it can withstand extreme temperatures, low light levels, drought, and poor soil. It also requi..."
Catmint,high,Weekly,Easy,6,Outdoor,Medium,5,35,Growth rate: moderate. Soil: well-drained. Watering: Water weekly. Fertilizer: Balanced.
Catnip,high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: fast. Soil: sandy. Watering: Water when topsoil is dry. Fertilizer: Balanced.
Cestrum,medium,Weekly,Easy,4,Both,High,10,32,"Growth rate: moderate. Soil: loamy. Watering: Regular, moist soil. Fertilizer: Organic."
Chamaedorea,low,2x/week,Medium,3,Both,High,10,32,"Chamaedorea microspadix is an incredible plant species! With its slender, deep green leaves and delicate white stripes near the midrib of each leaf, it adds a unique touch to any space. It is a very low-maintenance plant, requiring little more tha..."
Chamomile,high,Weekly,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Water weekly. Fertilizer: Organic.
Chayote,high,Weekly,Easy,6,Outdoor,Medium,5,35,Growth rate: fast. Soil: well-drained. Watering: Regular watering. Fertilizer: Balanced.
Cherry Blossom,high,Weekly,Medium,6,Outdoor,High,5,35,"Growth rate: slow. Soil: well-drained. Watering: Regular, moist soil. Fertilizer: Organic."
Chestnut,high,Weekly,Medium,6,Outdoor,Medium,5,35,Growth rate: slow. Soil: well-drained. Watering: Regular watering. Fertilizer: Organic.
Chicken Gizard Aralia,high,2x/week,Medium,6,Indoor,High,12,30,"(Polyscias crispata) Family: Araliaceae. Origin: Malaysia. Climate: Tropical. Watering: Keep moist between watering. Water when soil is half dry.. Watch for: Spider mite, Aphid, Mealy bug."
Chili Pepper,high,Weekly,Easy,6,Outdoor,High,5,35,"Growth rate: fast. Soil: loamy. Watering: Regular, moist soil. Fertilizer: Organic."
China Doll,high,2x/week,Medium,6,Indoor,High,8,28,(Radermachera sinica) Family: Bignoniaceae. Origin: China. Climate: Subtropical. Watering: Keep moist between watering. Water when soil is half dry..
Chinese Evegreen,low,Weekly,Easy,2,Both,Medium,10,32,"Chinese evergreen (Aglaonema 'Cutlass') is an amazing plant that is sure to bring joy and beauty to any home. It’s low-maintenance and requires minimal care, making it perfect for novice gardeners. It’s easy to propagate and comes in vibrant color..."
Chinese Evergreen,low,Weekly,Medium,3,Both,High,18,28,"The Chinese evergreen (Aglaonema 'Red Gold') is one of the most amazing plants you can own. This stunning evergreen has a unique look, with its dark green leaves accented with intricate, eye catching red and gold stripes. Not only is it beautiful ..."
Chinese Hibiscus,high,2x/week,Medium,6,Indoor,High,10,28,"(Hibiscus rosa sinensis) Family: Malvaceae. Origin: Asia. Climate: Tropical. Watering: Keep moist between watering. Must not be dry between watering. Watch for: Spider mite, Aphid, White fly."
Chinese Lantern Plant,medium,Every 2 weeks,Easy,4,Both,Low,10,32,Growth rate: moderate. Soil: loamy. Watering: Water when soil feels dry. Fertilizer: Balanced.
Chives,high,Weekly,Easy,6,Outdoor,High,5,35,Growth rate: fast. Soil: well-drained. Watering: Keep soil moist. Fertilizer: Balanced.
Christ Thorn,high,Every 2 weeks,Medium,6,Indoor,High,12,35,"(Euphorbia milii) Family: Euphorbiaceae. Origin: Madagascar. Climate: Arid Tropical. Watering: Water only when the soil is dry. Must be dry between watering. Watch for: Mealy bug, White fly."
Christplant,high,Weekly,Medium,6,Both,High,10,32,"The christplant (Euphorbia milii) is an amazing species of plant that is sure to add beauty to any garden or home. Its delicate leaves and flowers are a sight to behold with its small, colorful, and perfectly symmetrical petals. This plant is not ..."
Chrysanthemum,high,Weekly,Medium,6,Both,Medium,10,32,"Chrysanthemum 'Fireworks Igloo' is an amazing plant, known for its bright and vibrant colors. It features sublime yellow blooms with exquisite deep orange centers. Its textured petals are beautiful and its fiery colors are truly eye-catching. Its ..."
Chrysanthemum (outdoor),high,Weekly,Easy,6,Outdoor,High,5,35,"Growth rate: fast. Soil: loamy. Watering: Regular, moist soil. Fertilizer: Balanced."
Cilantro,high,Weekly,Easy,6,Outdoor,High,5,35,Growth rate: fast. Soil: well-drained. Watering: Keep soil moist. Fertilizer: Balanced.
Cineraria,high,Weekly,Easy,6,Indoor,High,15,28,Growth rate: moderate. Soil: well-drained. Watering: Keep soil moist. Fertilizer: Organic.
Clematis,high,Weekly,Medium,6,Outdoor,Low,5,35,Growth rate: slow. Soil: sandy. Watering: Regular Watering. Fertilizer: Organic.
Clementine,high,Weekly,Easy,6,Outdoor,Medium,5,35,Growth rate: moderate. Soil: loamy. Watering: Regular watering. Fertilizer: Organic.
Climbing Fig,medium,2x/week,Medium,4,Both,High,10,32,"The climbing fig (Ficus pumila) is an evergreen, deciduous climbing plant that can quickly cover walls, trees and even shrubs. Its heart-shaped leaves and delicate aerial roots are amazing features. It thrives best in those slightly moist and humi..."
Clivia,high,Weekly,Easy,6,Indoor,Medium,15,28,Growth rate: moderate. Soil: well-drained. Watering: Water weekly. Fertilizer: Balanced.
Clove,high,Weekly,Medium,6,Outdoor,Low,5,35,Growth rate: slow. Soil: sandy. Watering: Keep soil consistently moist. Fertilizer: Organic.
Clover,high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: fast. Soil: loamy. Watering: Water when topsoil is dry.
Cockscomb (celosia),high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: well-drained. Watering: Water when topsoil is dry. Fertilizer: Organic.
Cocoa Tree,high,Weekly,Easy,6,Outdoor,Medium,5,35,Growth rate: moderate. Soil: moist. Watering: Regular watering. Fertilizer: Low-nitrogen.
Coleus,high,Weekly,Easy,6,Both,Medium,10,32,Growth rate: moderate. Soil: well-drained. Watering: Regular Watering. Fertilizer: Low-nitrogen.
Coltsfoot,medium,Every 2 weeks,Medium,4,Both,Low,10,32,Growth rate: slow. Soil: moist. Watering: Water when soil is dry. Fertilizer: Low-nitrogen.
Columbine,medium,Weekly,Easy,4,Both,Medium,10,32,Growth rate: moderate. Soil: well-drained. Watering: Water weekly. Fertilizer: Balanced.
Columnea,high,Weekly,Easy,6,Both,Medium,10,32,"Columnea (Columnea microcalyx) is an amazing plant species due to its attractive and unique foliage. The leaves are dark green and thick, with wavy edges and a velvety texture. The bright red flowers with yellow and orange accents only further add..."
Coneflower,high,Weekly,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Water weekly. Fertilizer: Balanced.
Coral Bells,medium,Weekly,Easy,4,Both,Medium,10,32,Growth rate: moderate. Soil: well-drained. Watering: Water weekly. Fertilizer: Low-nitrogen.
Coral Berry,low,Weekly,Medium,3,Indoor,High,12,30,(Aechmea ramosa) Family: Bromeliaceae. Origin: Brazil. Climate: Subtropical. Watering: Water when soil is half dry. Change water in the vase regularly..
Coreopsis,high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: fast. Soil: sandy. Watering: Water when soil is dry. Fertilizer: Low-nitrogen.
Corn,high,Weekly,Easy,6,Outdoor,Medium,5,35,Growth rate: fast. Soil: loamy. Watering: Regular watering. Fertilizer: Balanced.
Cornflower,high,Weekly,Easy,6,Outdoor,High,5,35,"Growth rate: moderate. Soil: well-drained. Watering: Regular, moist soil. Fertilizer: Balanced."
Cornstalk Plant,medium,2x/week,Medium,4,Indoor,High,10,30,"(Dracaena fragrans Massangeana) Family: Liliaceae. Origin: Cultivar. Climate: Tropical. Watering: Keep moist between watering. Can dry between watering. Watch for: Mealy bug, Scale."
Cosmos,high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: fast. Soil: sandy. Watering: Water when soil feels dry. Fertilizer: Organic.
Creeping Fig,high,2x/week,Medium,6,Both,High,10,30,"(Ficus pumila) Family: Moraceae. Origin: Cultivar. Climate: Tropical. Watering: Keep moist between watering. Must not be dry between watering. Watch for: Spider mite, Mealy bug, Scale."
Cress,high,Weekly,Easy,6,Outdoor,High,5,35,"Growth rate: fast. Soil: moist. Watering: Regular, moist soil. Fertilizer: Balanced."
Cretan Brake,medium,2x/week,Medium,4,Indoor,High,12,28,(Pteris cretica Parkeri) Family: Pteridaceae. Origin: Cultivar. Climate: Tropical humid. Watering: Keep moist between watering. Must not be dry between watering.
Crocus,high,Weekly,Medium,6,Outdoor,Medium,5,35,Growth rate: slow. Soil: well-drained. Watering: Water weekly. Fertilizer: Balanced.
